"Year","State","Beverage_Type","Gallons_of_Beverage","Gallons_of_Ethanol","Population_14_Plus","Ethanol_Per_Capita_14_Plus","Decile_14_Plus","Population_21_Plus","Ethanol_Per_Capita_21_Plus","Decile_21_Plus","Data_Source_Type","Time_Varying_ABV","Gallons_of_Ethanol_from_ABV"
"1970","New Mexico","All Beverages","","1783945","70100","25449","5","55400","32201","5",".","",""
"1970","New York","Spirits","43365000","19514250","1369600","14248","2","1150900","16956","2",".","",""
"1970","New York","Wine","33994000","5439040","1369600","3971","1","1150900","4726","2",".","",""
"1970","New York","Beer","357617000","16092765","1369600","11750","5","1150900","13983","6",".","",""
"1970","New York","All Beverages","","41046055","1369600","29969","2","1150900","35664","2",".","",""
"1970","North Carolina","Spirits","7584000","3412800","373400","9140","7","300300","11365","7",".","",""
"1970","North Carolina","Wine","3688000","590080","373400","1580","6","300300","1965","6",".","",""
"1970","North Carolina","Beer","59386000","2672370","373400","7157","10","300300","8899","10",".","",""
"1970","North Carolina","All Beverages","","6675250","373400","17877","9","300300","22229","9",".","",""
"1970","North Dakota","Spirits","1009000","454050","44600","10180","6","35600","12754","5",".","",""
"1970","North Dakota","Wine","299000","47840","44600","1073","9","35600","1344","9",".","",""
"1970","North Dakota","Beer","12038000","541710","44600","12146","4","35600","15217","3",".","",""
"1970","North Dakota","All Beverages","","1043600","44600","23399","6","35600","29315","6",".","",""
"1970","Ohio","Spirits","14046000","6320700","776400","8141","8","635500","9946","8",".","",""
"1970","Ohio","Wine","9062000","1449920","776400","1867","6","635500","2282","6",".","",""
"1970","Ohio","Beer","209830000","9442350","776400","12162","4","635500","14858","4",".","",""
"1970","Ohio","All Beverages","","17212970","776400","22170","7","635500","27086","7",".","",""
"1970","Oklahoma","Spirits","3568000","1605600","192100","8358","8","158400","10136","8",".","",""
"1970","Oklahoma","Wine","1749000","279840","192100","1457","7","158400","1767","7",".","",""
"1970","Oklahoma","Beer","33200000","1494000","192100","7777","10","158400","9432","10",".","",""
"1970","Oklahoma","All Beverages","","3379440","192100","17592","9","158400","21335","9",".","",""
"1970","Oregon","Spirits","3135000","1410750","156400","9020","7","128400","10987","7",".","",""
"1970","Oregon","Wine","3841000","614560","156400","3929","1","128400","4786","1",".","",""
"1970","Oregon","Beer","40798000","1835910","156400","11739","6","128400","14298","6",".","",""
"1970","Oregon","All Beverages","","3861220","156400","24688","6","128400","30072","6",".","",""
"1970","Pennsylvania","Spirits","16188000","7284600","884600","8235","8","735700","9902","8",".","",""
"1970","Pennsylvania","Wine","10675000","1708000","884600","1931","6","735700","2322","6",".","",""
"1970","Pennsylvania","Beer","248341000","11175345","884600","12633","3","735700","15190","3",".","",""
"1970","Pennsylvania","All Beverages","","20167945","884600","22799","7","735700","27413","7",".","",""
"1970","Rhode Island","Spirits","1867000","840150","71600","11734","4","59200","14192","4",".","",""
"1970","Rhode Island","Wine","1688000","270080","71600","3772","2","59200","4562","2",".","",""
"1970","Rhode Island","Beer","20360000","916200","71600","12796","3","59200","15476","3",".","",""
"1970","Rhode Island","All Beverages","","2026430","71600","28302","3","59200","34230","3",".","",""
"1970","South Carolina","Spirits","4484000","2017800","185900","10854","5","146700","13755","5",".","",""
"1970","South Carolina","Wine","1802000","288320","185900","1551","7","146700","1965","6",".","",""
"1970","South Carolina","Beer","32897000","1480365","185900","7963","9","146700","10091","9",".","",""
"1970","South Carolina","All Beverages","","3786485","185900","20368","8","146700","25811","7",".","",""
"1970","South Dakota","Spirits","972000","437400","48400","9037","7","38700","11302","7",".","",""
"1970","South Dakota","Wine","402000","64320","48400","1329","8","38700","1662","7",".","",""
"1970","South Dakota","Beer","9993000","449685","48400","9291","8","38700","11620","8",".","",""
"1970","South Dakota","All Beverages","","951405","48400","19657","8","38700","24584","8",".","",""
"1970","Tennessee","Spirits","3766000","1694700","290600","5832","10","237800","7127","10",".","",""
"1970","Tennessee","Wine","1160000","185600","290600","639","10","237800","780","10",".","",""
"1970","Tennessee","Beer","56240000","2530800","290600","8709","8","237800","10643","8",".","",""
"1970","Tennessee","All Beverages","","4411100","290600","15179","10","237800","18550","10",".","",""
"1970","Texas","Spirits","13282000","5976900","810000","7379","9","656700","9101","9",".","",""
"1970","Texas","Wine","8770000","1403200","810000","1732","6","656700","2137","6",".","",""
"1970","Texas","Beer","236125000","10625625","810000","13118","2","656700","16180","2",".","",""
"1970","Texas","All Beverages","","18005725","810000","22229","7","656700","27418","7",".","",""
"1970","Utah","Spirits","927000","417150","73100","5707","10","57000","7318","10",".","",""
"1970","Utah","Wine","559000","89440","73100","1224","8","57000","1569","8",".","",""
"1970","Utah","Beer","12215000","549675","73100","7519","10","57000","9643","10",".","",""
"1970","Utah","All Beverages","","1056265","73100","14450","10","57000","18531","10",".","",""
"1970","Vermont","Spirits","1240000","558000","32200","17329","2","26100","21379","1",".","",""
"1970","Vermont","Wine","778000","124480","32200","3866","2","26100","4769","2",".","",""
"1970","Vermont","Beer","9906000","445770","32200","13844","2","26100","17079","1",".","",""
"1970","Vermont","All Beverages","","1128250","32200","35039","1","26100","43228","1",".","",""
